day,caar,mean_ar
-30,0.007412751507983938,0.007412751507983938
-29,0.0010504448707447324,-0.006362306637239208
-28,-0.007589665620376288,-0.00864011049112102
-27,-0.0014814060446018025,0.006108259575774491
-26,0.004778015914588651,0.006259421959190451
-25,-0.0032833873795948686,-0.008061403294183514
-24,-0.006615580210780084,-0.0033321928311852143
-23,-0.0008503864289949925,0.005765193781785091
-22,-0.004792910291615551,-0.0039425238626205564
-21,-0.011589928927704676,-0.006797018636089131
-20,-0.012007172663660854,-0.0004172437359561769
-19,-0.015214710454181912,-0.0032075377905210513
-18,-0.012123999362223482,0.003090711091958423
-17,-0.014184762604070806,-0.002060763241847323
-16,-0.018913967224643006,-0.004729204620572192
-15,-0.023094734390078513,-0.004180767165435513
-14,-0.03235307212845095,-0.00925833773837244
-13,-0.03342733122695903,-0.0010742590985080803
-12,-0.037497414797692454,-0.004070083570733414
-11,-0.043524573058823214,-0.006027158261130774
-10,-0.04086381802779084,0.0026607550310323845
-9,-0.042440831439684266,-0.0015770134118934234
-8,-0.043172647830103356,-0.0007318163904190883
-7,-0.047081397608278196,-0.0039087497781748375
-6,-0.0499392581009179,-0.0028578604926397105
-5,-0.044754515789794204,0.005184742311123696
-4,-0.04628570738199952,-0.0015311915922053127
-3,-0.04437122492739324,0.001914482454606276
-2,-0.05380392960201318,-0.009432704674619947
-1,-0.054328137374548724,-0.0005242077725355409
0,-0.04821408148921901,0.006114055885329706
1,-0.04610221156184044,0.0021118699273785825
2,-0.047438293876973646,-0.0013360823151332048
3,-0.04565369759313433,0.001784596283839308
4,-0.04658868231358193,-0.0009349847204476047
5,-0.0547167957972578,-0.008128113483675868
6,-0.054059996022450464,0.0006567997748073486
7,-0.0494264943433046,0.00463350167914585
8,-0.05359395392060875,-0.004167459577304145
9,-0.05592435804772616,-0.0023304041271174107
10,-0.053837003903499124,0.0020873541442270366
11,-0.04905721254053586,0.00477979136296325
12,-0.035273589409032996,0.013783623131502871
13,-0.03349048337243569,0.00178310603659729
14,-0.04102576524380578,-0.007535281871370072
15,-0.03251090173546937,0.00851486350833641
16,-0.029520550758545757,0.0029903509769236055
17,-0.02610236562597995,0.003418185132565816
18,-0.02098751202322874,0.005114853602751224
19,-0.02768073266016885,-0.0066932206369401245
20,-0.026800068538133864,0.0008806641220349864
21,-0.023238362308030846,0.0035617062301030148
22,-0.026367094178410308,-0.003128731870379461
23,-0.035146421536395495,-0.008779327357985197
24,-0.03579766005043788,-0.0006512385140423882
25,-0.0300137797119151,0.0057838803385227905
26,-0.03299167565170197,-0.0029778959397868715
27,-0.041702176614134744,-0.00871050096243277
28,-0.05416907384963702,-0.012466897235502277
29,-0.062028214363191454,-0.007859140513554437
30,-0.07420705446646875,-0.012178840103277305
